Product ID,Optimal Price,Min MSE,Sample with Min MSE
bed1,45.95,0.0,1
bed2,89.9,0.0,1
bed3,84.89027744012459,0.24021364210104187,3
bed4,47.76452655967361,0.21081242117263638,2
computers1,104.51201369642335,19.590987245592594,1
computers2,81.52566422083014,1.7910232861051334,2
computers3,138.76719760192327,1.5297114586441702,1
computers4,119.98999999999995,3.4331226595218434e-27,7
computers5,97.50008309446991,135.78820946517766,1
computers6,149.69044520278086,0.023703559395833768,1
consoles1,36.19131505822979,0.00018496249599910536,4
consoles2,33.418765379069825,0.3489727346712498,3
cool1,99.9900000000001,3.1484823699829413e-07,5
cool2,129.9899999999999,3.345309834916487e-05,4
cool3,29.716372529393613,472.15206888045833,1
cool4,154.59871352154977,283.6893134245256,2
cool5,99.99,0.0,1
furniture1,34.17581480790998,1.1659329954410536,4
furniture2,70.3023798567253,0.4569915656607752,3
furniture3,40.3315570914441,4.898851186031687,2
furniture4,99.9,0.0,1
garden1,121.65640368890223,19.48029527652621,4
garden10,59.9,0.0,1
garden2,59.9,0.0,1
garden3,86.74677675647672,89.69747575037492,7
garden4,49.899999999999416,2.934310131932493e-25,5
garden5,112.14340366444144,74.07326555284347,5
garden6,59.9,0.0,1
garden7,59.9,0.0,1
garden8,185.7833984118736,4.39616556815722,2
garden9,59.9,0.0,1
health1,84.99,0.0,1
health10,50.53025188669825,1.1868962106584682,1
health2,325.0,0.0,1
health3,122.31510209893992,4.253642958246341,2
health4,29.9,0.0,1
health5,349.9,0.0,1
health6,64.30046181166179,6.12266120858008,1
health7,58.98999999999999,1.262177448353619e-28,8
health8,89.99,0.0,1
health9,19.99,0.0,1
perfumery1,56.99,0.0,1
perfumery2,119.17857192908436,8.858371687640061e-12,4
watches1,138.21999999999971,1.71252236192619e-25,6
watches2,146.8572542603276,47.03256062280971,2
watches3,78.0,0.0,1
watches4,101.73641065552079,5.436664051990875,3
watches5,208.2720351562422,4.586271558963313,2
watches6,118.36363640000056,1.636791715024973e-25,5
watches7,346.5355665812504,51.90860819372404,1
watches8,197.828559974543,850.744301025393,1
