Product ID,Sample,Predicted Price,MSE
bed1,6,45.949974,6.728805603071347e-10
bed1,7,45.949974,29.356413140613494
bed1,8,45.94975,35.51860805861
bed1,9,40.531967,0.29372840586341703
bed1,10,39.990356,1.2705326080180434e-07
bed1,11,39.989983,3.025867045617844e-10
bed1,12,39.98998,4.498520866880358e-10
bed1,13,39.989983,3.025867045617844e-10
bed1,14,39.989983,3.025867045617844e-10
bed1,15,39.989983,3.025867045617844e-10
bed1,16,39.989983,0.5624739077732869
bed2,6,89.89995,2.691522241228539e-09
bed2,7,89.89995,2.691522241228539e-09
bed2,8,89.89995,2.691522241228539e-09
bed2,9,89.89995,2.691522241228539e-09
bed2,10,89.89995,2.691522241228539e-09
bed2,11,89.89995,1.992933114717463
bed2,12,89.899704,8.998223964581232
bed2,13,88.48844,2.523146294991002
bed2,14,86.900116,1.344829797612912e-08
bed2,15,88.48605,11.84084896135478
bed2,16,86.89957,10.562183259913636
bed2,17,86.899445,48.99222442958496
bed2,18,85.044754,50.57230434849861
bed2,19,79.467834,29.89721382036805
bed3,6,91.99944,3.101886250078678e-07
bed3,7,98.998886,65.99752550222911
bed3,8,91.999695,14.135305171257295
bed3,9,88.240746,11.16058079265287
bed3,10,87.53483,6.942319569925282
bed3,11,89.41998,20.430245508104512
bed4,6,45.89973,4.001077343039791
bed4,7,47.893112,4.744202829895446e-05
bed4,8,47.89914,7.406249642347671e-07
bed4,9,47.89954,2.1164829376954216e-07
bed4,10,47.899742,6.649876013324879e-08
computers1,6,98.816864,0.006911592222751132
computers1,7,98.91772,0.00031389137962812907
computers1,8,98.89987,1.642853021767421e-08
computers1,9,98.89994,69.98896029431273
computers1,10,90.53475,33.39296839736487
computers1,11,98.89942,129.94681490963558
computers1,12,95.67333,2.8000406995997764
computers1,13,90.94942,322.18157474161126
computers1,14,85.11789,352.5286582956762
computers1,15,91.18095,127.2597505537815
computers2,6,92.2298,133.70599142990298
computers2,7,93.576416,189.78963823556907
computers2,8,80.66596,3.1186225597769752
computers2,9,78.8432,0.8896275295317065
computers2,10,77.90072,5.165138281800104e-07
computers3,6,141.86229,15.699737516874402
computers3,7,141.44627,12.5760578908864
computers3,8,140.30661,29.231432853676317
computers3,9,134.90092,3.613514648983255
computers3,10,133.67778,0.5009527426693604
computers4,6,139.99031,32.64951065551658
computers4,7,145.70357,39.51923351566542
computers4,8,151.98453,7.351444917148599
computers4,9,152.06168,4.2918415541782595
computers4,10,149.9887,1.7076287418841596e-06
computers4,11,149.98967,42.53233089432603
computers4,12,151.83672,8.046955952653661
computers4,13,151.16306,225.60635756978434
computers4,14,143.2043,496.4528995681227
computers4,15,149.08508,905.1122195869684
computers4,16,118.974945,20.104384138215714
computers4,17,118.99965,0.9807950084213066
computers4,18,120.8271,0.7007408652756448
computers5,6,77.00558,120.87733518105233
computers5,7,116.38495,701.452509255558
computers5,8,88.06761,84.04510417812493
computers6,6,150.34789,0.20060109131969003
computers6,7,149.8999,9.536743165172724e-09
computers6,8,149.8999,9.536743165172724e-09
consoles1,6,19.900158,21.15854708304687
consoles1,7,22.914999,91.8722440132151
consoles1,8,31.165565,1.7807154595502652
consoles1,9,32.4992,6.543077233056295
consoles1,10,32.499382,13.694573440982516
consoles1,11,36.193726,3.936827182773342e-05
consoles1,12,36.199245,5.693413550077057e-07
consoles2,6,20.665861,14.700620876279572
consoles2,7,19.90041,50.87859953300621
consoles2,8,22.807955,93.93574038742008
consoles2,9,26.367622,40.643618302638764
consoles2,10,32.738434,2.136175646223136
cool1,6,99.989655,1.1934190988187183e-07
cool1,7,99.989944,3.0849128955880154e-09
cool1,8,99.989944,3.0849128955880154e-09
cool1,9,99.989944,3.0849128955880154e-09
cool1,10,99.989944,3.0849128955880154e-09
cool1,11,99.989944,3.0849128955880154e-09
cool1,12,99.989944,3.0849128955880154e-09
cool1,13,99.989944,3.0849128955880154e-09
cool1,14,99.989944,3.0849128955880154e-09
cool1,15,99.989944,102.54825293789159
cool2,6,129.98993,170.62705658460274
cool2,7,116.92831,9.373966600582811
cool2,8,119.990364,99.99271863840995
cool2,9,120.202385,95.79740839183805
cool2,10,129.98938,3.8454532624419004e-07
cool2,11,129.77736,0.045216191143173864
cool2,12,129.98967,1.0903216899041946e-07
cool2,13,129.98993,5.01275062689821e-09
cool3,6,34.99958,900.0251771780313
cool3,7,64.979904,0.0004038421902805567
cool4,6,146.98859,400.05654496694245
cool4,7,156.61723,415.0496239755608
cool4,8,166.97104,46.74652415139765
cool4,9,176.96646,48.67101061893838
cool5,6,99.989944,3.0849128955880154e-09
cool5,7,99.989944,3.0849128955880154e-09
cool5,8,99.989944,3.0849128955880154e-09
cool5,9,99.989944,3.0849128955880154e-09
cool5,10,99.989944,3.0849128955880154e-09
cool5,11,99.989944,3.0849128955880154e-09
cool5,12,99.989944,4.153217613924764
cool5,13,97.95282,175.8360818405689
furniture1,6,38.399727,7.460126653236008e-08
furniture1,7,38.399727,7.460126653236008e-08
furniture1,8,38.399727,8.491469302852668
furniture1,9,36.85472,3.4399902450386435
furniture1,10,36.44127,2.0772561023477465
furniture1,11,35.442776,0.19605034381675068
furniture1,12,35.00008,6.417394615709782e-09
furniture1,13,34.99998,3.637978807091713e-10
furniture2,6,74.999954,25.046292646601266
furniture2,7,74.999695,26.00688730016345
furniture2,8,69.90072,5.165138281800104e-07
furniture2,9,69.90016,2.6160851119109985e-08
furniture2,10,69.89996,1.3411045078626227e-09
furniture2,11,69.89996,400.00146484509133
furniture2,12,89.876205,0.0005661808792504393
furniture2,13,89.89868,177.8129348768724
furniture3,6,38.399754,6.072747055371102e-08
furniture3,7,38.399754,6.072747055371102e-08
furniture3,8,38.399754,8.49162492862708
furniture3,9,35.541225,0.29292496970447246
furniture3,10,35.000507,2.5740882847458124e-07
furniture3,11,35.00028,7.754715625196695e-08
furniture3,12,35.00008,6.417394615709782e-09
furniture4,6,99.89995,2.691522241228539e-09
furniture4,7,99.89995,2.691522241228539e-09
furniture4,8,99.89995,2.691522241228539e-09
furniture4,9,99.89995,456.43048714792366
furniture4,10,99.89966,258.126794928795
garden1,6,119.975655,0.0005926984013058245
garden1,7,99.99034,6.2983873600605875
garden1,8,102.500465,51.99081118460819
garden1,9,95.29021,28.09219328011615
garden1,10,89.99061,3.6992589012410684e-07
garden1,11,102.49186,636.8260826030928
garden1,12,102.49333,306.4834276421461
garden1,13,127.699684,313.2788187643164
garden1,14,109.9993,4.926696419715881e-07
garden1,15,110.578224,0.33434320479864255
garden1,16,109.99993,400.39735204939274
garden1,17,101.36141,1.8807710063317
garden1,18,99.98474,2.7602761468412442
garden10,6,59.899967,1.076259650196771e-09
garden10,7,59.899967,39.08357713744982
garden10,8,59.899708,20.023009843379867
garden10,9,59.89947,99.98942593872142
garden10,10,55.415234,20.387334571481347
garden10,11,55.214123,1.7269186604587632
garden10,12,54.347137,0.19993190024048216
garden10,13,49.900288,14.510280288933634
garden10,14,52.926136,9.157499192450786
garden10,15,50.873573,0.9478449767478769
garden10,16,49.900352,1.2424075976114318e-07
garden2,6,59.899967,1.076259650196771e-09
garden2,7,59.899967,1.076259650196771e-09
garden2,8,59.899967,29.70214241135455
garden2,9,54.45078,20.709589153533464
garden2,10,49.89771,5.249172099859462e-06
garden2,11,49.90013,1.7774278512140866
garden2,12,49.90023,15.998156791368954
garden2,13,51.218353,7.191229176558546
garden2,14,53.89906,15.992475250159053
garden2,15,51.233295,1.7776767321216214
garden2,16,51.233295,1.7776767321216214
garden2,17,49.90021,4.466215614289506e-08
garden3,6,119.96336,0.0013422223273664713
garden3,7,110.056114,33.71096206601942
garden3,8,96.65707,16.508508125617556
garden3,9,103.925026,194.18494794684003
garden3,10,92.21251,4.939546945274271
garden3,11,92.11109,974.7243087149546
garden3,12,110.44632,91.27280956599861
garden3,13,94.093956,370.15363913600544
garden3,14,113.3342,11.116876290179789
garden3,15,109.99983,2.8172507882118225e-08
garden3,16,116.60828,398.066729508906
garden3,17,97.52548,6.073848096264873
garden3,18,103.97296,15.86398171926145
garden4,6,59.899723,17.220201416421332
garden4,7,59.899532,99.99064658103106
garden4,8,50.08014,0.07673104972712816
garden4,9,59.887585,35.851170375366365
garden4,10,53.854687,0.0020532917982198874
garden4,11,53.38565,0.10742392655361425
garden4,12,53.49117,12.896494612964462
garden4,13,49.900486,2.3618864361334884e-07
garden4,14,49.90029,8.493894711219651e-08
garden5,6,88.999115,69.45919533488572
garden5,7,89.02016,99.59726909198798
garden5,8,97.54535,2.1160091795027256
garden5,9,98.99869,1.7220154404640198e-06
garden5,10,98.99948,2.691522240638733e-07
garden5,11,97.3342,4.690698311664164
garden5,12,99.4943,2.26712995354319
garden5,13,100.98971,0.0001059263595379889
garden5,14,100.99888,1.2578093446791172e-06
garden6,6,59.899967,1.076259650196771e-09
garden6,7,59.899967,56.145389986020064
garden6,8,59.899685,23.03697519694046
garden6,9,59.89947,99.98942593872142
garden6,10,52.36444,3.309778364742103
garden6,11,52.90082,0.9983573035855051
garden6,12,54.838913,0.8815575537178693
garden6,13,55.093117,2.8155673475003424
garden6,14,52.8036,8.430894767661238
garden6,15,49.9008,8.466212546912265e-05
garden6,16,49.9099,9.867385960437777e-09
garden7,6,59.899967,1.076259650196771e-09
garden7,7,59.899967,73.57770883218036
garden7,8,59.899723,8.537764178281511
garden7,9,59.89549,99.90979513174915
garden7,10,56.846863,29.668314285427346
garden7,11,55.704155,3.2549751495034487
garden7,12,53.76961,0.017001197795034017
garden7,13,53.899292,0.9985844856500654
garden7,14,52.903584,9.021514001330951
garden7,15,52.792873,8.36871640757251
garden7,16,49.900345,1.1892057955363057e-07
garden8,6,179.9899,16.000810557140483
garden8,7,183.97006,15.08719176401159
garden8,8,184.00557,25.055725598940626
garden8,9,181.88167,45.263587394600954
garden8,10,181.32144,5.389091336168349
garden8,11,178.99971,8.405186235904694e-08
garden8,12,176.04381,290.4913905749563
garden8,13,162.8451,568.5884493738413
garden8,14,139.00041,1.6973353922367096e-07
garden9,6,59.899967,1.076259650196771e-09
garden9,7,59.899967,1.076259650196771e-09
garden9,8,59.899967,42.521650529664576
garden9,9,59.899704,17.046462935296063
garden9,10,59.899525,99.9904940003349
garden9,11,49.901024,1.2633223526203041
garden9,12,54.347435,0.20019807704026008
garden9,13,52.776585,1.2620621042378448
garden9,14,53.86236,1.6788162643139874
garden9,15,52.80166,8.41962280720706
garden9,16,49.90049,2.399110235287759e-07
garden9,17,49.900375,1.408997923146426e-07
health1,6,84.98996,1.6227364535978395e-09
health1,7,84.98996,1.6227364535978395e-09
health1,8,84.98996,1.6227364535978395e-09
health1,9,84.98996,1.6227364535978395e-09
health10,6,51.843464,0.1098683154818422
health10,7,50.02908,0.4636528127677983
health2,6,324.99982,3.3527612686157227e-08
health2,7,324.99982,3.3527612686157227e-08
health2,8,324.99982,0.7975208085836936
health2,9,324.99985,25.001525902189314
health2,10,324.99985,25.001525902189314
health2,11,329.9967,1.0862946510314941e-05
health2,12,329.999,1.014210283756256e-06
health2,13,325.8934,16.86414631549269
health3,6,119.97188,9.109060094461187
health3,7,122.97171,0.0003345165982840574
health3,8,122.98835,2.7227819897065608e-06
health4,6,29.899982,3.079185261823693e-10
health4,7,29.899982,3.079185261823693e-10
health4,8,29.899982,3.079185261823693e-10
health4,9,29.899982,3.079185261823693e-10
health4,10,29.899982,3.079185261823693e-10
health4,11,29.899982,3.079185261823693e-10
health5,6,349.89978,4.82797622580744e-08
health5,7,349.89978,4.82797622580744e-08
health5,8,349.89978,4.82797622580744e-08
health5,9,349.89978,4.82797622580744e-08
health5,10,349.89978,4.82797622580744e-08
health5,11,349.89978,770.8073053829085
health5,12,349.89938,3.8001686331806673e-07
health5,13,322.13693,770.7879240587714
health5,14,349.89938,3.8001686331806673e-07
health5,15,349.89938,3.8001686331806673e-07
health5,16,349.89938,3.8001686331806673e-07
health5,17,349.89978,5.523532763123512
health5,18,349.8998,198.81533572915941
health5,19,363.95245,0.0022606588900089264
health5,20,361.70038,5.288259420543909
health6,6,64.98934,4.002633489952309
health6,7,66.01017,0.9600668623902735
health7,6,64.98996,38.32149671616009
health7,7,64.98969,32.867587322930554
health7,8,58.800335,0.03597283861881663
health7,9,58.98988,1.44941965122841e-08
health7,10,58.96569,0.0005909463063814714
health7,11,58.989655,1.1934190988678108e-07
health7,12,59.2535,0.06943324713492662
health7,13,58.989967,1.0662712158071922e-09
health7,14,58.989967,1.0662712158071922e-09
health7,15,58.989967,1.0662712158071922e-09
health7,16,58.989967,1.0662712158071922e-09
health7,17,58.989967,1.0662712158071922e-09
health7,18,58.989967,1.0662712158071922e-09
health7,19,58.989967,1.0662712158071922e-09
health7,20,58.989967,1.0662712158071922e-09
health8,6,89.989944,3.0849128955880154e-09
health8,7,89.989944,3.0849128955880154e-09
health8,8,89.989944,3.0849128955880154e-09
health8,9,89.989944,3.0849128955880154e-09
health8,10,89.989944,3.0849128955880154e-09
health8,11,89.989944,3.0849128955880154e-09
health8,12,89.989944,39.061805728182634
health8,13,83.74084,14.068778929491472
health8,14,83.85749,14.957483073514833
health8,15,79.99017,3.0046701433047995e-08
health8,16,79.989944,3.0849128955880154e-09
health8,17,79.98995,8.017259071503567
health9,6,19.98999,9.536743161009387e-11
health9,7,19.98999,11.61049180874425
health9,8,19.989988,16.000093383925307
health9,9,23.396778,0.351912214702948
health9,10,20.585873,11.58808301402071
health9,11,23.397884,0.35060092059711273
health9,12,23.989742,6.642008665868533e-08
health9,13,23.989986,1.8442515279577277e-10
health9,14,23.989986,1.8442515279577277e-10
health9,15,23.989986,1.8442515279577277e-10
health9,16,23.989986,1.8442515279577277e-10
health9,17,23.989986,1.8442515279577277e-10
health9,18,23.989986,1.8442515279577277e-10
perfumery1,6,56.989975,6.262212992710209e-10
perfumery1,7,56.989975,6.262212992710209e-10
perfumery1,8,56.989975,6.262212992710209e-10
perfumery1,9,56.989975,6.262212992710209e-10
perfumery1,10,56.989975,42.249674683243384
perfumery1,11,56.989716,48.99601814730313
perfumery1,12,50.49309,0.2531011411389549
perfumery1,13,49.99026,6.816165987298317e-08
perfumery2,6,118.05013,0.022539843062402837
perfumery2,7,118.00003,0.012352459157882682
perfumery2,8,117.94953,0.062265997028442543
perfumery2,9,117.900055,0.00561676327139054
perfumery2,10,117.98517,3.6665798379481056
perfumery2,11,119.87865,0.49010563651310957
perfumery2,12,117.83996,0.739671913369098
perfumery2,13,119.19653,5.243488602133905
watches1,6,235.86755,5083.341165164019
watches1,7,195.63599,1358.21832372675
watches1,8,166.14265,68.73535630876599
watches1,9,232.4298,2159.4417833552952
watches1,10,232.42625,1117.314474687213
watches1,11,185.957,15.657854796387255
watches1,12,174.43358,508.7343851334044
watches1,13,181.99986,1015.4756941463326
watches1,14,150.15492,310.5938318709377
watches1,15,134.26186,15.666903298545247
watches1,16,171.79715,282.14423664007336
watches1,17,150.3125,22.67274789896269
watches2,6,161.53223,439.83428698883046
watches2,7,169.89589,436.6381888950709
watches2,8,149.47089,0.9426200725138187
watches2,9,149.01704,9.13706814758277
watches2,10,146.01875,486.294512465383
watches2,11,140.53165,455.4658850847618
watches2,12,140.53702,501.9929701135718
watches2,13,148.47661,73.55820952625004
watches2,14,123.94883,225.93608206429684
watches2,15,138.97577,0.9521252252161503
watches3,6,77.999954,2.0954757928848267e-09
watches3,7,77.999954,2.0954757928848267e-09
watches3,8,77.999954,2.0954757928848267e-09
watches3,9,77.999954,2.0954757928848267e-09
watches3,10,77.999954,2.0954757928848267e-09
watches3,11,77.999954,2.0954757928848267e-09
watches3,12,77.999954,2.0954757928848267e-09
watches3,13,77.999954,2.0954757928848267e-09
watches3,14,77.999954,2.0954757928848267e-09
watches3,15,77.999954,0.031871409005024796
watches4,6,107.99966,8.997940181347076
watches4,7,105.00015,2.3283064365386963e-08
watches4,8,107.99873,8.99240272701718
watches4,9,104.99995,2.852175384759903e-09
watches4,10,104.99995,2.852175384759903e-09
watches5,6,208.40196,152.96835703657928
watches5,7,207.75684,4.289544837320678
watches5,8,203.28995,166.34686023835093
watches5,9,200.4099,15.798387547056238
watches5,10,204.94322,35.32188828685321
watches6,6,160.75896,770.5596886856947
watches6,7,147.73111,1.6100827986374497
watches6,8,134.90952,44.46020603083816
watches6,9,128.24394,116.6972893849269
watches6,10,117.44169,139.07634760181546
watches6,11,105.64913,3.446994657757547
watches6,12,128.23558,85.29594614380039
watches6,13,118.95084,0.3448125435746059
watches6,14,118.98881,48.843432763183955
