Product ID,Optimal Price,Min MSE,Sample with Min MSE,Number of Samples
bed1,39.99,0.0,13,11
bed2,89.90000000000002,2.0194839173657902e-28,6,14
bed3,88.23910000000004,11.149588810000203,11,6
bed4,47.90000000000005,2.473867798773093e-27,10,5
computers1,99.81999999999998,0.8463999999999509,6,10
computers2,78.98372463740006,1.1744590897078762,10,5
computers3,135.55499999999995,6.682224999999748,10,5
computers4,150.28579832399996,0.0874966484811772,10,13
computers5,89.22479574480002,0.4559007862401683,7,3
computers6,149.89999999999986,2.0194839173657902e-26,7,3
consoles1,35.659142857200024,0.2925264489177567,12,7
consoles2,22.154000001400007,5.503715993431166,6,5
cool1,99.98999999999988,1.63578197306629e-26,7,10
cool2,129.98999999999987,2.0194839173657902e-26,13,8
cool3,49.83,230.12890000000004,7,2
cool4,170.73781144399993,0.5592219557772481,9,4
cool5,99.98999999999988,1.63578197306629e-26,6,8
furniture1,35.0777142864,0.0060395103106616,13,8
furniture2,70.31753271000004,0.1743335639199705,10,8
furniture3,35.36914285740001,0.1362664491694419,12,7
furniture4,99.89999999999998,8.077935669463161e-28,6,5
garden1,98.3929999999999,0.0048534449088755,18,13
garden10,59.900000000000055,3.2311742677852644e-27,6,11
garden2,59.900000000000055,3.2311742677852644e-27,6,12
garden3,111.26526665999998,1.6008997209075062,15,13
garden4,53.41557142960002,0.2346710398197657,10,9
garden5,100.71,0.0841000000000036,14,9
garden6,59.900000000000055,3.2311742677852644e-27,6,11
garden7,59.900000000000055,3.2311742677852644e-27,6,11
garden8,179.11861320199995,0.0140690916886807,10,9
garden9,59.900000000000055,3.2311742677852644e-27,6,12
health1,84.9899999999999,9.895471195092372e-27,6,4
health10,51.75202372140001,0.0576113868347082,6,2
health2,325.0,0.0,6,8
health3,119.51461537999988,12.078298256933431,7,3
health4,29.90000000000002,4.543838814073028e-28,6,6
health5,349.89999999999986,1.2924697071141056e-26,6,15
health6,65.26999999999992,2.9584000000002404,6,2
health7,58.98999999999994,4.0894549326657245e-27,13,15
health8,89.9899999999999,9.895471195092372e-27,6,12
health9,19.99000000000001,5.048709793414476e-29,6,13
perfumery1,56.98999999999994,4.0894549326657245e-27,6,8
perfumery2,117.89177778,0.0069259379017277,9,8
watches1,180.61459999399997,1.9193331766249508,11,12
watches2,148.16030000000003,4.691617947804615,9,10
watches3,78.0,0.0,6,10
watches4,105.08999999399995,0.0080999989199941,10,5
watches5,207.30981819000004,8.556811362624034,9,5
watches6,118.03106242600002,0.1106054481821424,13,9
watches7,342.05249334,4.633227578744261,6,7
watches8,160.567745916,11.729863401962024,9,5
