Product ID,Optimal Price,Min MSE,Sample with Min MSE,Number of Samples
bed1,45.95,0.0,6,11
bed2,89.9,0.0,6,14
bed3,85.01405157511569,0.0130077617863678,9,6
bed4,48.18432822516802,0.0808425396271951,7,5
computers1,98.71560473381837,0.0340016141901974,6,10
computers2,78.21870105391572,0.1015703617669888,9,5
computers3,137.32828460435923,0.326858493612661,7,5
computers4,155.09998928649725,0.1633023757145094,8,13
computers5,91.68659066136146,13.590950704437557,6,3
computers6,149.9,0.0,7,3
consoles1,36.48989458142159,0.0840388683375959,11,7
consoles2,33.048258025385536,0.0932697007942704,9,5
cool1,99.99,0.0,7,10
cool2,129.99,0.0,13,8
cool3,60.55937123985332,19.71918378544184,7,2
cool4,172.34166548067125,5.530330532980712,9,4
cool5,99.99,0.0,6,8
furniture1,35.1971813767606,0.0388804953412043,12,8
furniture2,70.09647679988001,0.0386031328910866,10,8
furniture3,38.64686938755548,0.0609444945120166,7,7
furniture4,99.9,0.0,6,5
garden1,122.79061812591912,7.787549524708365,6,13
garden10,59.9,0.0,6,11
garden2,59.9,0.0,6,12
garden3,97.74328512633252,5.047727723558642,17,13
garden4,50.15677397156862,0.0401476914512286,8,9
garden5,100.95647691442866,0.0018942589776499,14,9
garden6,59.9,0.0,6,11
garden7,59.9,0.0,6,11
garden8,186.51457407018103,1.7948272510721095,7,9
garden9,59.9,0.0,6,12
health1,84.99,0.0,6,4
health10,50.33966750279756,0.1371461584841955,7,2
health2,325.0,0.0,6,8
health3,121.2038895901865,3.190190396044109,7,3
health4,29.9,0.0,6,6
health5,349.9,0.0,6,15
health6,67.09542798654581,0.0111150603471055,6,2
health7,58.99,5.048709793414476e-29,13,15
health8,89.99,0.0,6,12
health9,19.99,0.0,6,13
perfumery1,56.99,5.048709793414476e-29,6,8
perfumery2,117.91813687569532,0.0475836965381101,8,8
watches1,153.32438280932837,2.090757837568744,12,12
watches2,144.98270971539975,1.0232859726199777,9,10
watches3,78.0,0.0,6,10
watches4,105.09927134505097,0.0098547999482278,9,5
watches5,209.1278113266013,22.497907598127323,9,5
watches6,114.97785675856692,16.17763625460573,12,9
watches7,278.53456916132643,4.5458399144179245,9,7
watches8,153.8231772378975,11.02027438684871,9,5
