Product ID,Optimal Price,Min MSE,Sample with Min MSE
bed1,39.99,0.0,13
bed2,89.90000000000002,2.0194839173657902e-28,6
bed3,88.23910000000004,11.149588810000203,11
bed4,47.90000000000005,2.473867798773093e-27,10
computers1,99.81999999999998,0.8463999999999509,6
computers2,78.98372463740006,1.1744590897078762,10
computers3,135.55499999999995,6.682224999999748,10
computers4,150.28579832399996,0.08749664848117729,10
computers5,89.22479574480002,0.45590078624016833,7
computers6,149.89999999999986,2.0194839173657902e-26,7
consoles1,35.659142857200024,0.29252644891775675,12
consoles2,22.154000001400007,5.503715993431166,6
cool1,99.98999999999987,1.63578197306629e-26,7
cool2,129.98999999999987,2.0194839173657902e-26,13
cool3,49.83,230.12890000000004,7
cool4,170.73781144399993,0.5592219557772481,9
cool5,99.98999999999987,1.63578197306629e-26,6
furniture1,35.0777142864,0.006039510310661639,13
furniture2,70.31753271000004,0.17433356391997054,10
furniture3,35.36914285740001,0.13626644916944194,12
furniture4,99.89999999999998,8.077935669463161e-28,6
garden1,98.3929999999999,0.004853444908875556,18
garden10,59.900000000000055,3.2311742677852644e-27,6
garden2,59.900000000000055,3.2311742677852644e-27,6
garden3,111.26526665999998,1.6008997209075062,15
garden4,53.41557142960002,0.23467103981976578,10
garden5,100.71,0.08410000000000363,14
garden6,59.900000000000055,3.2311742677852644e-27,6
garden7,59.900000000000055,3.2311742677852644e-27,6
garden8,179.11861320199995,0.014069091688680722,10
garden9,59.900000000000055,3.2311742677852644e-27,6
health1,84.9899999999999,9.895471195092372e-27,6
health10,51.75202372140001,0.057611386834708254,6
health2,325.0,0.0,6
health3,119.51461537999987,12.078298256933433,7
health4,29.90000000000002,4.543838814073028e-28,6
health5,349.89999999999986,1.2924697071141057e-26,6
health6,65.26999999999992,2.9584000000002404,6
health7,58.98999999999994,4.089454932665725e-27,13
health8,89.9899999999999,9.895471195092372e-27,6
health9,19.990000000000006,5.048709793414476e-29,6
perfumery1,56.98999999999994,4.089454932665725e-27,6
perfumery2,117.89177778,0.006925937901727756,9
watches1,180.61459999399995,1.9193331766249508,11
watches2,148.16030000000003,4.691617947804615,9
watches3,78.0,0.0,6
watches4,105.08999999399997,0.008099998919994167,10
watches5,207.30981819000004,8.556811362624034,9
watches6,118.03106242600002,0.11060544818214248,13
watches7,342.05249333999996,4.633227578744261,6
watches8,160.567745916,11.729863401962023,9
